Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Variant Image,Status
women-zari-embroidered-georgette-saree-scalloped-border,Women Zari Embroidered Georgette Saree with Scalloped Border & Matching Blouse,"<p>Festive georgette saree covered in fine zari chain lines running on the diagonal, with sequin-filled flower motifs scattered between them. The pallu and hem are finished with a broad scalloped embroidered border in gold, and a matching embroidered blouse piece comes with it. Soft, easy to pleat and light enough to carry through a long function. Made for weddings, sangeet, festive pujas and receptions.</p>",HyraLuxe,Sarees,"Sarees, Georgette, Festive, Party, Migrated",TRUE,Colour,Bottle Green,HF-ZEB-01-BOTTLEGREEN,shopify,2,deny,manual,1299.00,,TRUE,TRUE,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-zari-embroidered-georgette-saree-scalloped-border/bottle-green-01-1-505974.jpg,1,Women Zari Embroidered Georgette Saree with Scalloped Border & Matching Blouse,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-zari-embroidered-georgette-saree-scalloped-border/bottle-green-01-1-505974.jpg,active
women-zari-embroidered-georgette-saree-scalloped-border,,,,,,,,Maroon,HF-ZEB-01-MAROON,shopify,2,deny,manual,1299.00,,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-zari-embroidered-georgette-saree-scalloped-border/maroon-01-9-4f2ee3.jpg,
women-zari-embroidered-georgette-saree-scalloped-border,,,,,,,,Mustard Yellow,HF-ZEB-01-MUSTARDYELLOW,shopify,2,deny,manual,1299.00,,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-zari-embroidered-georgette-saree-scalloped-border/mustard-yellow-01-7-e7babf.jpg,
women-zari-embroidered-georgette-saree-scalloped-border,,,,,,,,Peacock Blue,HF-ZEB-01-PEACOCKBLUE,shopify,2,deny,manual,1299.00,,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-zari-embroidered-georgette-saree-scalloped-border/peacock-blue-01-4-98e0ed.jpg,
women-zari-embroidered-georgette-saree-scalloped-border,,,,,,,,Red,HF-ZEB-01-RED,shopify,2,deny,manual,1299.00,,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-zari-embroidered-georgette-saree-scalloped-border/red-01-3-f9d960.jpg,
women-zari-embroidered-georgette-saree-scalloped-border,,,,,,,,Teal Green,HF-ZEB-01-TEALGREEN,shopify,2,deny,manual,1299.00,,TRUE,TRUE,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-zari-embroidered-georgette-saree-scalloped-border/teal-green-01-12-8c2aac.jpg,
women-zari-embroidered-georgette-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-zari-embroidered-georgette-saree-scalloped-border/bottle-green-02-6-196c3c.jpg,2,Women Zari Embroidered Georgette Saree with Scalloped Border & Matching Blouse,,
women-zari-embroidered-georgette-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-zari-embroidered-georgette-saree-scalloped-border/maroon-01-9-4f2ee3.jpg,3,Women Zari Embroidered Georgette Saree with Scalloped Border & Matching Blouse,,
women-zari-embroidered-georgette-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-zari-embroidered-georgette-saree-scalloped-border/maroon-02-10-b33c50.jpg,4,Women Zari Embroidered Georgette Saree with Scalloped Border & Matching Blouse,,
women-zari-embroidered-georgette-saree-scalloped-border,,,,,,,,,,,,,,,,,,https://pub-1c439aae24bd4239bd4c425d68d03bfc.r2.dev/products/women-zari-embroidered-georgette-saree-scalloped-border/mustard-yellow-01-7-e7babf.jpg,5,Women Zari Embroidered Georgette Saree with Scalloped Border & Matching Blouse,,
